 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
Seal B.C.,"Communication Sciences and Disorders, James Madison University, Harrisonburg, VA 22807, United States"
Seal B.C.,"James Madison University, Harrisonburg, VA, United States"
Searight H.R.,"Department of Psychology, Lake Superior State University, 650 W. Easterday Ave., Sault Sainte Marie, MI 49783, United States"
Searight H.R.,
Seavy N.E.,"Department of Zoology, University of Florida, P.O. Box 118525, Gainesville, FL 32611, United States"
Sebok E.,"Department of Geosciences and Natural Resource Management, University of Copenhagen, Denmark"
Seeber K.G.,"University of Geneva, 40 bd du Pont D'Arve, CH-1205 Geneva, Switzerland"
Seeber K.G.,"Facult_ de Traduction et d'Interpr_tation, Universit_ de Ge?ve, 40, Bd du Pont D'Arve, 1205 Ge?ve, Switzerland"
Seeber K.G.,"Ecole de Traduction et d'Interpr_tation, Universit_ de Genève, 40, Boulevard du Pont-d'Arve, CH-1211 Genève 4, Switzerland"
Seeber K.G.,"Universit_ de Genève, Genève, Switzerland"
Seers K.,"Pegasus Health (Charitable) Ltd, Christchurch, New Zealand"
Segev A.,"Shalvata Mental Health Center, 1st Aliyat Hanoar St, Hod Hasharon, Israel"
Seidengart J.,"Universit_ Paris Ouest-Nanterre-La D_fense, France"
Seleskovitch D.,"Universit_ de Paris III, France"
Seligman M.,"Spoken Translation, Inc., 1100 West View Drive, Berkeley, CA, United States"
Selvaggio L.,
Serfilippi L.M.,"Calvert Laboratories, Inc., Scott Technology Paris, 100 Discovery Drive, Olyphant, PA 18447, United States"
Sergey I.,"IMDEA, Software Institute, Spain"
Sergey I.,"IMDEA Software Institute, Spain"
Sergio F.S.,"SSLMIT, Universitˆ di Trieste, Italy"
Sergio F.S.,
Serpette B.P.,"Inria Sophia M_diterran_e, 2004 route des Lucioles -BP 93, F-06902 Sophia Antipolis, Cedex, France"
Serpette B.P.,"Inria Sophia M_diterran_e, 2004 route des Lucioles, F-06902 Sophia Antipolis, Cedex, France"
Serrano M.S.C.,"Middlebury Institute of International Studies at Monterey, United States"
Serrano O.J.,"University of Granada, Spain"
Setton R.,Shanghai International Studies University
Setton R.,"Graduate Institute of Translation and Interpretation Studies, Fu Jen Catholic University, 510 Chongcheng Road, 242 Hsinchuang, Taipei, Taiwan"
Sfikas P.M.,"ADA, 211 E. Chicago Ave., Chicago, IL 60611, United States"
Sfikas P.M.,"ADA, 211 E. Chicago Ave., Chicago, IL 60611, United States"
Shafer K.E.,
Shaffer B.,"Department of Linguistics, University of New Mexico, Albuquerque, NM, United States"
Shahabi P.,"Universit_ de Lorraine, Cardiovascular Genetics Research Unit, EA 4373, Nancy, F-54000, France"
Shalvi Doron,"Univ of Maryland Medical Sch, Baltimore, United States"
Shanikat F.A.-H.,"The world Islamic Sciences and Education University, Jordan"
Shaw R.,"Department of Interpretation, Gallaudet University, Washington, DC, United States"
Shaw S.,
Shaw S.,"University of North Florida, 1 UNF Drive, Jacksonville, FL 32224, United States"
Shaw S.,"Department of ASL/English Interpreting, University of North Florida, Jacksonville, United States"
Shaw S.,"University of Arkansas, Little Rock, AR, United States"
Shealy J.,"Department of Industrial and Manufacturing Engineering, Rochester Institute of Technology, One Lomb Memorial Drive, Rochester, 14623, New York, United States"
Shealy Jasper,"Rochester Inst of Technology, Rochester, United States"
Shepard D.S.,"Schneider Institutes for Health Policy, Heller School for Social Policy and Management, Brandeis University, Waltham, MA, United States"
Sheppard C.,
Sheppard K.,"College of Nursing, University of Arizona, Tucson, AZ, United States"
Sheppard K.,"University Nevada Reno, Reno, NV, United States"
Sheridan G.,"Royal Australian Planning Institute, Australia"
Sherson E.A.,"Department of Family and Community Medicine, University of New Mexico, Albuquerque, NM 87131, United States"
Shih T.K.,"Dept. of Comp. Sci. and Info. Eng., Tamkang University, Tamsui, Taipei Hsien, 251, Taiwan"
Shih W.J.,"Biostatistics and Research Data Systems, Merck Research Laboratories, Rahway, New Jersey, 07065-0914, United States"
Shinn M.M.,"Child Guidance Center, Inc., 525 Cabrillo Park Drive, Santa Ana, CA 92701, United States"
Shippee N.D.,"Division of Health Care Policy and Research, Mayo Clinic, Rochester, MN, United States"
Shisheng L.,"Translation Department, Nankai University, 94 Weijing Rd, Tianjin, 300071, China"
Shiu-Thornton S.,"Department of Health Services, University of Washington, Seattle, WA, United States"
Shlesinger M.,"Department of Translation and Interpreting Studies, Bar-Ilan University, Ramat-Gan 52900, Israel"
Shlesinger M.,"Department of Translation and Interpretation, Bar-Ilan University, Ramat Can, Israel"
Shlesinger M.,"Bar-llan University, Ramat-Gan, Israel"
Shoab M.,"Department of Civil Engineering, Indian Institute of Technology Roorkee, Uttarakhand, India"
Shore P.M.,"Department of Critical Care Medicine, Univ. of Pittsburgh Sch. of Medicine, Children's Hospital of Pittsburgh, Pittsburgh, PA, United States"
Shores P.,"HfH University of Applied Sciences of Special Needs Education, Sign-Language Interpreting, Zurich, Switzerland"
Shores P.,"HfH University of Applied Sciences of Special Needs Education, Sign-Language Interpreting, Zurich, Switzerland"
Shrank C.,University of Sheffield
Shriner C.J.,"College of Medicine, University of Toledo"
Shroff G.,"Tata Consultancy Services R and D, 249 D and E Udyog Vihar, Gurgaon, Haryana 122016, India"
Shuman D.W.,"Department of Statistical Science, Southern Methodist University, 3225 Daniel Avenue, P.O. Box 750332, Dallas, TX 75275-0332, United States"
Shveitser A.,"Russian Academy of Sciences, Russian Federation"
Siegel L.M.,
Siegel P.,"Gallaudet University, Washington, DC, USA."
Signorelli T.M.,"Department of Communication Sciences and Disorders, Marymount Manhattan College, New York, NY 10021, United States"
Silcox M.,University of Central Oklahoma
Sills E.S.,"Georgia Reproductive Specialists LLC, Atlanta, GA, United States"
Silva M.D.,"Department of Geriatrics and Palliative Medicine, Weill Cornell Medical Center, Baker Building 14th Floor, 525 East 68th Street, Box 39, New York, New York, United States"
Simm R.,"Cairn Energy PLC, United Kingdom"
Simm R.,"Rock Physics Associates Ltd, United Kingdom"
Simon C.M.,"Bioethics Department, School of Medicine, Case Western Reserve University, Cleveland, OH, United States"
Simon H.A.,"Labor, Employment/Benefits Law G., Landels Ripley and Diamond, LLP, San Francisco, United States"
Simon L.,"Instructor in Oral Health Policy and Epidemiology, Harvard School of Dental Medicine, 188 Longwood Avenue, Boston, MA, United States"
Simoska S.,"Philologische Fakult_t Bla_e Koneski, Universit_t Skopje, Skopje, Macedonia"
Singh-Carlson S.,"California State University, Long Beach, California 90803, USA."
Singh-Carlson S.,"California State University Long Beach, Long Beach, California 90803, USA."
Singy P.,"Liaison Psychiatry Service, University of Lausanne, Hospital Les Allières, CH-1011 Lausanne, Switzerland"
Singy P.,"Service de Psychiatrie de Liaison, CHUV, 1011 Lausanne, Switzerland"
Sins J.W.R.,"Afdeling Kindergeneeskunde, Tergooiziekenhuizen, Blaricum, Netherlands"
Sintov N.D.,"Information Sciences Institute, University of Southern California, 4767 Admiralty Way, Marina del Rey, CA 90292, United States"
Sistakou E.,
Skanavis C.,"Research Center of Environmental Education and Communication, Department of Environmental and Natural Resource Management, University of the Aegean, 81100 Mytilene, Greece"
Skjelsb_k I.,"Peace Research Institute, Oslo (PRIO), Norway"
Slade B.V.,"Department of Public Law, Faculty of Law, University of Stellenbosch, South Africa"
Slattery B.,"University of Illinois at Chicago, 1240 W. Harrison St., Chicago, IL, United States"
Slatyer H.,"Department of Linguistics, Macquarie University, Sydney, Australia"
Sleptsova M.,"Psychosomatik, Universit_tsspital Basel, Hebelstra§e 2, Basel, Switzerland"
Sleptsova M.,"Psychosomatic Medicine, University Hospital Basel, Basel, Switzerland"
Sleptsova M.,"Abteilung fŸr Psychosomatik, Innere Medizin, Universit_tsspital Basel, Switzerland"
Slike S.B.,"Education of the Deaf/Hard of Hearing Program, Bloomsburg University of Pennsylvania"
Slobodzian J.T.,"Department of Special Education, Language and Literacy, College of New Jersey, Ewing, NJ, United States"
Sloss D.,"Center for Global Law and Policy, Santa Clara University, School of Law, United States"
Slotkin T.A.,"Department of Pharmacology and Cancer Biology, Box 3813, Duke University Medical Center, Durham, NC 27710, United States"
Slough C.L.,"Department of Medical Affairs, Olean, Procter and Gamble Company, Cincinnati, OH 45224, United States"
Sluss S.B.,"17 Lexington Avenue, New York, 10010, United States"
Smaldone G.C.,"Pulmonary/Critical Care Division, Department of Medicine, State University of New York, Stony Brook, NY 11794-8172, United States"
Smirnov S.,"University of Iceland, Iceland"
Smith A.,"Western Oregon University, United States"
Smith A.,"Western Oregon University, United States"
Smith C.,
Smith J.J.,"Department of Radiology, Massachusetts General Hospital, 55 Fruit St., Boston, MA 02114, United States"
Smith T.,"University of Texas at Austin, United States"
Smoli?ski A.,"Department of Energy Saving and Air Protection, Central Mining Institute, Plac Gwark—w 1, Katowice, Poland"
Soguero-Ruiz C.,"Department of Teori‡ de la Se–al y Comunicaciones, Universidad Rey Juan Carlos, Madrid, Spain"
Sohn Andrew,"New Jersey Inst of Technology, Newark, United States"
Solomon M.Z.,"Center for Applied Ethics, Education Development Center, Inc, Newton, MA, United States"
Solomon N.A.,"Robert Wood Johnson Clinical Scholars Program, Stanford University School of Medicine, Palo Alto, CA, United States"
Sommer B.D.,"Department of Religion, Northwestern University"
Sonestedt E.,"Department of Clinical Sciences, Lund University, Malm_ University Hospital, Entrance 59, SE-205 02 Malm_, Sweden"
Song J.W.,"University of Michigan Health System, Ann Arbor, MI"
Soriano L.M.,
Soutchanski M.,"Dept. of Computer Science, University of Toronto, Toronto, ON M5S 3H5, Canada"
Spallanzani M.,"Alma Mater-Universitˆ di Bologna, Italy"
Spichiger U.E.,"Department of Organic Chemistry, Swiss Federal Institute of Technology (ETH), Universit_tstrasse 16, CH-8092 ZŸrich, Switzerland"
Spiller-Bosatra E.,"School for Interpreters and Translators (SIT) Valeria Dar˜, Franco Fabbro Faculty of Medicine, Italy"
Spindler K.P.,"Department of Orthopaedics and Rehabilitation, Vanderbilt University Medical School, Nashville, TN 37232-8774, USA."
Splevins K.A.,"Yorkshire Centre for Eating Disorders, Leeds, United Kingdom"
Spoturno M.L.,"Universidad Nacional de La Plata, Argentina"
Sridhar V.K.R.,"ATandT Labs - Research, 180 Park Avenue, Florham Park, NJ 07932, United States"
Srisorachatr S.,
Srivastava A.K.,"Oil and Natural Gas Corporation Limited, Dehradun, India"
St. Andr_ J.,"National University of Singapore, Singapore, Singapore"
StadtmŸller S.,"Institutes AIFB, KSRI, Karlsruhe Institute of Technology (KIT), Germany"
Stake R.,"The Center for Instructional Research and Curriculum Evaluation, University of Illinois, 1310 S. Sixth Street, Champaign, Illinois, 61820, United States"
Stanglin K.D.,"Harding University, Box 12280, Searcy, AR 72149, United States"
Stansfield C.W.,"Second Language Testing Inc., 10713 Mist Haven Terrace, North Bethesda, MD 20852, United States"
Stapleton H.,"Australian Catholic University, Mater Medical Research Institute, Midwifery Research Unit, Aubigny Place, Raymond Terrace, Brisbane 4101, Australia"
Starr-Deelen D.,
Staszewski G.,"Michigan State University, College of Law, United States"
Stavrakaki S.,"Department of Italian Language and Literature, School of Philosophy, Aristotle University of Thessaloniki, Thessaloniki, Greece"
Steadman L.B.,"Arizona State University, Tempe, Arizona, 85281, United States"
Stedt J.D.,"Cameron University, Lawton, Oklahoma."
Steele Guy L.,"Thinking Machines Corp, Cambridge, United States"
Stein P.D.,"Henry Ford Heart and Vasc. Institute, 6525 Second Ave., Detroit, MI 48202-3006, United States"
Steinbach A.,"University of Munich (LMU), Germany"
Steinhauer L.,"Tri Alpha Energy, Rancho Santa Margarita, CA 92688, United States"
Steinman S.,"Department of Pathology, Methodist Hospital, Houston, TX, United States"
Steinmetz D.C.,"Duke University Divinity School, United States"
Stephan K.S.,"Institut fŸr Didaktik und Ausbildungsforschung in der Medizin, Ludwig-Maximilians-Universit_t MŸnchen, MŸnchen, Germany"
Stern D.G.,"University of Iowa, United States"
Stern L.,"University of New South Wales, Australia"
Stern L.,"University of New South Wales, Australia"
Stevens H.,"Attorney-at-Law, Victor Braeckmanlaan 62, 9040 Gent, Belgium"
Stevens P.E.,"Health Maintenance Department, School of Nursing, University of Wisconsin, Milwaukee, WI, United States"
Stewart D.A.,"Michigan State University, United Kingdom"
Stewart S.A.,"BP Azerbaijan, Chertsey Road, Sunbury on Thames TW16 7LN, United Kingdom"
Stiperski Z.,"Department of Geography, University of Zagreb, Croatia"
Stocco A.,"Institute for Learning and Brain Sciences, University of Washington, Seattle, WA 98195, United States"
Stockall N.,"Special Education, Sam Houston State University, Huntsville, TX, United States"
Stokes P.P.,"Department of Accounting and Business Law, Texas A and M University-Corpus Christi, Corpus Christi, TX 78412-9966, United States"
Stoll R.W.,
Stoller E.P.,"State University of New York, Plattsburgh, United States"
Stolwijk C.,"Maastricht University Medical Center, Department of Rheumatology, PO Box 5800, Maastricht, Netherlands"
Stone C.,"Department of Interpretation, Gallaudet University, Washington, DC, United States"
Stone C.,"Deafness, Cognition and Language Research Center (DCAL)"
Storck T.,"Klinische Psychologie und Psychotherapie, Psychologische Hochschule Berlin, Am K_llnischen ParkÊ2, Berlin, Germany"
Storey B.C.,"University of British Columbia, Vancouver, Canada."
Stover E.,"University of California, Berkeley, United States"
Strader L.C.,"Department of Biochemistry and Cell Biology, Rice University, Houston, TX 77005, United States"
Stradiotto R.A.,
Stram D.O.,"Radiation Effects Research Foundation, Japan"
Straume K.,"Department of Geography, University of Bergen, PB 7800, Bergen, Norway"
Strecker U.,"Rock Solid Images, Houston, TX, United States"
Strobach T.,"Medical School Hamburg, Hamburg, Germany"
Su‡rez M.,"Department of Thermalism, National Center of Natural and Traditional Medicine (CENAMENT), Ave 243 19815 Fontanar, Boyeros, Havana, Cuba"
Sugishita S.,"Department of Information and Computer Sciences, SAITAMA University, Shimo-okubo 255, Urawa, Saitama, 338, Japan"
Sullivan B.J.,"Ameritech, 2000 W. Ameritech Center Dr., Hoffman Estates, IL, United States"
Sun C.,"Department of Forestry, Mississippi State University, Mississippi State, MS 39762, United States"
Sunitha K.A.,"Department of Electronics and Instrumentation Engineering, SRM University, Kattankulathur, Chennai, India"
